payer_email,recipient_email,sum,currency,billing_date,comment
vasya@mail.com,petya@mail.com,681.00,AUD,12/13/2015,"Procrastinator? No, I just wait until the last second to do my work because I will be older, therefore wiser."
petya@mail.com,ivan@mail.com,714.00,EUR,12/22/2015,You remind me of my Chinese friend...Ug Lee.
ivan@mail.com,bobby@mail.com,338.00,SGD,1/14/2015,"I just dropped my laptop off the boat.....It's a Dell, rolling in the deep."
bobby@mail.com,lenny@mail.com,157.00,INR,6/17/2015,"I was planning to do something today, but I haven't finished doing nothing from yesterday."
lenny@mail.com,alex@mail.com,623.00,CHF,1/4/2015,"I just dropped my laptop off the boat.....It's a Dell, rolling in the deep."
igor@mail.com,john@mail.com,722.00,EUR,9/2/2015,"I feel like getting something done today, so I'm just going to sit here until the feeling passes."
john@mail.com,leo@mail.com,198.00,JPY,8/19/2015,Whatever you do in life give 100%.....unless you're giving blood.
leo@mail.com,enzo@mail.com,240.00,MYR,6/20/2015,"I was complimented on my driving. Someone left a note on my windshield that said, 'Parking Fine.'"
enzo@mail.com,franz@mail.com,647.00,JPY,3/8/2015,"I was complimented on my driving. Someone left a note on my windshield that said, 'Parking Fine.'"
franz@mail.com,vasya@mail.com,960.00,CHF,7/9/2015,I really like ceilings......I guess you could call me a ceiling fan.
vasya@mail.com,ivan@mail.com,141.00,MYR,11/26/2015,"I was complimented on my driving. Someone left a note on my windshield that said, 'Parking Fine.'"
petya@mail.com,bobby@mail.com,776.00,JPY,5/29/2015,"I was planning to do something today, but I haven't finished doing nothing from yesterday."
ivan@mail.com,lenny@mail.com,546.00,INR,9/18/2015,"Grammar is somewhat important. Commas do save lives for instance: 'Let's eat grandpa.' 'Lets eat, grandpa.'"
bobby@mail.com,alex@mail.com,251.00,CAD,1/21/2015,"I feel like getting something done today, so I'm just going to sit here until the feeling passes."
lenny@mail.com,john@mail.com,646.00,CHF,1/13/2015,Whatever you do in life give 100%.....unless you're giving blood.
igor@mail.com,leo@mail.com,997.00,MYR,8/10/2015,"Better late then never, but never late is better."
john@mail.com,enzo@mail.com,261.00,AUD,12/27/2015,I speak my mind. I never mind what I speak.
leo@mail.com,franz@mail.com,687.00,INR,1/19/2015,"Procrastinator? No, I just wait until the last second to do my work because I will be older, therefore wiser."
enzo@mail.com,vasya@mail.com,211.00,AUD,5/23/2015,"Grammar is somewhat important. Commas do save lives for instance: 'Let's eat grandpa.' 'Lets eat, grandpa.'"
franz@mail.com,petya@mail.com,352.00,SGD,6/4/2015,"Better late then never, but never late is better."
vasya@mail.com,bobby@mail.com,930.00,GBP,1/9/2015,Whatever you do in life give 100%.....unless you're giving blood.
petya@mail.com,lenny@mail.com,639.00,EUR,9/14/2015,I haven't seen any statuses about Ninjas lately....well played Ninjas.
ivan@mail.com,alex@mail.com,142.00,SGD,7/26/2015,"On a scale of Voldemort to Pinocchio, how Nosy are you?"
bobby@mail.com,john@mail.com,276.00,SGD,10/18/2015,I changed all my passwords to 'incorrect'. So my computer just tells me when I forgot.
lenny@mail.com,leo@mail.com,258.00,CAD,5/21/2015,"Better late then never, but never late is better."
igor@mail.com,enzo@mail.com,109.00,USD,9/3/2015,The dictionary is the only place where success comes before work.
john@mail.com,franz@mail.com,799.00,SGD,4/20/2015,"I just dropped my laptop off the boat.....It's a Dell, rolling in the deep."
